"№";"ID";"Угроза";"Атака / способ";"Элемент техпаспорта БАС";"Информационный поток";"Актуальность"
"1";"УБИ.1.1.1";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет эксплуатации уязвимостей";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.1 Эксплуатация уязвимостей. Техники: СП.1.1 Эксплуатация известных уязвимостей; СП.1.2 Эксплуатация уязвимостей ""нулевого дня"". Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"2";"УБИ.1.1.2";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет использования недостатков конфигурации";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.2 Использование недостатков конфигурации. Техники: СП.2.1 Использование недостатков, связанных с неполнотой проверки вводимых (входных) данных; СП.2.2 Использование недостатков, связанных с управлением учетными данными; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"3";"УБИ.1.1.3";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет использования недостатков архитектуры";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.3 Использование недостатков архитектуры. Техники: СП.3.1 Эксплуатация недостатков незащищенных протоколов передачи данных. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.3.1 Системные и сетевые службы; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"4";"УБИ.1.1.4";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет внедрения вредоносного программного обеспечения";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.4 Внедрение вредоносного программного обеспечения. Техники: СП.4.1 Внедрение вредоносного программного обеспечения через электронную почту; СП.4.2 Внедрение вредоносного программного обеспечения через съемные носители информации; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"5";"УБИ.1.1.5";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет внедрения программных и аппаратных закладок";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.5 Внедрение программных и аппаратных закладок. Техники: СП.5.1 Внедрение закладок в прикладное программное обеспечение; СП.5.2 Внедрение закладок, являющихся драйверами устройств; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"6";"УБИ.1.1.7";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет прослушивания (захвата) сетевого трафика";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.7 Прослушивание (захват) сетевого трафика. Техники: СП.7.1 Прослушивание интерфейсов сети. Компоненты: К.2.2.8 Сетевой интерфейс.";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"7";"УБИ.1.1.8";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет сканирования сетевой инфраструктуры";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.8 Сканирование сетевой инфраструктуры. Техники: СП.8.5 Идентификация пользователей; СП.8.6 Обнаружение доступных общих сетевых каталогов. Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"8";"УБИ.1.1.9";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет изучения информации о системе";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.9 Изучение информации о системе. Техники: СП.9.6 Поиск файлов и каталогов. Компоненты: К.1.2.1 Операционная система; К.1.2.3 Программная оболочка; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"9";"УБИ.1.1.10";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет атаки типа ""человек посередине""";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.10 Атака типа ""человек посередине"". Техники: СП.10.7 Атаки на уровне каналов и сети, приводящие к изменению маршрутов. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система.";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"10";"УБИ.1.1.11";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет применения скрытых каналов";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.11 Применение скрытых каналов. Техники: СП.11.1 Применение скрытых каналов по времени. Компоненты: К.1.3.1 Системные и сетевые службы; К.1.5.11 Пакет офисного ПО (для работы с текстами, таблицами, презентациями и т.п.); и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"11";"УБИ.1.1.12";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет считывания вводимой и выводимой информации";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.12 Считывание вводимой и выводимой информации. Техники: СП.12.1 Считывание нажатий клавиш на клавиатуре; СП.12.3 Снятие изображение с монитора; и др.. Компоненты: К.1.2.1 Операционная система; К.2.1.2 Монитор; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"12";"УБИ.1.1.13";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет реализации социальной инженерии";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.13 Реализация социальной инженерии. Техники: СП.13.1 Целенаправленная рассылка через рассылку рекламных писем (спам-сообщений); СП.13.2 Атаки через социальные сети; и др.. Компоненты: К.4.1.1 Администратор; К.4.2.1 Непривилегированный сотрудник.";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"13";"УБИ.1.1.16";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет нарушения изоляции";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.16 Нарушение изоляции. Техники: СП.16.2 Нарушение изоляции процессов. Компоненты: К.1.2.1 Операционная система.";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"14";"УБИ.1.1.18";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет использования недостатков механизмов разграничения доступа";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.18 Использование недостатков механизмов разграничения доступа. Техники: СП.18.1 Доступ без авторизации; СП.18.2 Использование ошибок или отсутствия проверки прав доступа. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"15";"УБИ.1.1.24";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет физического воздействия";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.24 Физическое воздействие. Техники: СП.24.2 Внесение изменений в конфигурацию на уровне оборудования. Компоненты: К.2.1.2 Монитор; К.2.1.3 Мышь; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"16";"УБИ.1.1.25";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет атаки на системы с распределенным реестром";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.25 Атаки на системы с распределенным реестром. Техники: СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра; СП.25.2 Атаки на протоколы достижения консенсуса; и др.. Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
"17";"УБИ.1.1.26";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет воздействия через системы хранения и резервирования данных";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.26 Воздействие через системы хранения и резервирования данных. Техники: СП.26.1 Воздействие на поставщика услуг системы хранения данных; СП.26.2 Анализ временных задержек операций с зашифрованными данными сервера системы хранения данных; и др.. Компоненты: К.1.3.1 Системные и сетевые службы.";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна"
